x,y,videoTime,classification
980.16,121.88,19.888901,FIX
990.96,132.52,19.909749,FIX
977.96,120.96,19.940261,FIX
989.82,133.14,19.964672,FIX
1003.9,152.62,19.994402,FIX
990.4,154.91,20.025331,FIX
999.23,170.18,20.049897,FIX
1006.62,183.22,20.081698,FIX
999.78,184.5,20.109559,FIX
1001.95,192.87,20.142061,FIX
1001.4,199.37,20.163721,FIX
1001.41,205.44,20.195156,FIX
959.04,211.38,20.224467,FIX
935.24,226.96,20.247605,FIX
904.7,228.41,20.280526,FIX
910.27,239.9,20.320588,FIX
942.94,251.14,20.338385,FIX
961.06,248.31,20.375092,FIX
963.79,242.25,20.393032,FIX
969.41,242.44,20.428049,FIX
988.25,242.56,20.45971,FIX
997.3,233.85,20.488076,FIX
1002.61,232.06,20.520511,FIX
1026.58,244.85,20.551681,FIX
1032.06,242.61,20.590427,FIX
1034.23,238.81,20.612525,FIX
1029.71,230.51,20.650219,FIX
1022.53,222.71,20.681018,FIX
1015.56,213.86,20.700702,FIX
1025.66,213.08,20.736081,FIX
1030.16,214.36,20.758483,FIX
1031.7,214.42,20.797018,FIX
1030.72,215.33,20.827844,FIX
1032.18,217.61,20.86177,FIX
1030.89,219.67,20.884558,FIX
1038.05,217.26,20.916405,FIX
1023.03,205.42,20.950035,FIX
1013.58,200.34,20.969765,FIX
1012.12,198.89,21.000037,FIX
1017.27,206.14,21.035707,FIX
1031.31,214.88,21.054176,FIX
1029.57,218.17,21.090029,FIX
1031.83,218.63,21.118554,FIX
1025.45,215.66,21.164661,FIX
1031.98,217.62,21.210617,FIX
1030.32,220.9,21.274729,FIX
1026.82,218.39,21.327554,FIX
1024.09,219.11,21.373466,FIX
1033.88,225.56,21.414194,FIX
1073.97,315.72,21.464193,FIX
1076.84,353.95,21.519365,FIX
1087.97,421.09,21.555628,FIX
1101.3,477.11,21.607838,FIX
1106.93,506.14,21.655736,FIX
1098.7,562.76,21.695057,FIX
1078.08,578.08,21.741561,FIX
1067.82,595.14,21.786257,FIX
1079.23,609.09,21.824332,FIX
1076.53,590.54,21.860577,FIX
1072.12,603.17,21.907113,FIX
1067.64,555.08,21.938486,FIX
1068.07,529.76,21.969069,FIX
1060.35,503.33,22.01088,FIX
1048.6,442.2,22.048014,FIX
1018.18,455.11,22.082221,FIX
1036.52,464.27,22.126996,FIX
1017.58,482.29,22.158997,FIX
1002.85,476.81,22.194846,FIX
1061.63,501.36,22.235122,FIX
1057.43,500.81,22.264699,FIX
1063.03,484.7,22.311538,FIX
1075.44,499.91,22.338076,FIX
1109.93,515.54,22.378819,FIX
1111.99,512.94,22.41182,FIX
1152.38,492.97,22.450696,FIX
1182.26,483.2,22.48496,FIX
1233.75,502.13,22.530517,FIX
1247.36,521.72,22.563687,FIX
1308.64,531.04,22.605888,FIX
1339.57,527.41,22.634903,FIX
1338.1,497.61,22.676204,FIX
1332.89,491.53,22.707626,FIX
1377.32,521.21,22.75093,FIX
1418.94,533.27,22.775518,FIX
1453.8,546.18,22.81694,FIX
1457.07,531.85,22.846563,FIX
1475.53,547.52,22.889139,FIX
1478.16,541.6,22.914508,FIX
1481.18,556.04,22.959155,FIX
1469.47,547.7,22.990606,FIX
1430.8,524.41,23.030517,FIX
1396.84,490.89,23.070435,FIX
1367.44,462.55,23.098061,FIX
1371.03,456.81,23.134544,FIX
1363.56,459.54,23.193443,FIX
1356.02,448.79,23.232681,FIX
1364.18,454.86,23.272675,FIX
1374.62,461.53,23.319469,FIX
1380.56,469.79,23.349082,FIX
1295.74,424.57,23.394769,FIX
1316.55,442.29,23.425883,FIX
1361.83,484.8,23.470053,FIX
1384.5,508.68,23.499688,FIX
1410.28,535.9,23.545036,FIX
1421.96,543.33,23.575724,FIX
1397.08,519.52,23.616858,FIX
1383.56,515.96,23.648279,FIX
1359.65,503.01,23.691695,FIX
1346.49,487.77,23.719172,FIX
1341.23,491.79,23.766171,FIX
1331.74,488.23,23.797394,FIX
1336.0,503.65,23.839025,FIX
1313.74,487.8,23.871557,FIX
1313.27,494.16,23.911578,FIX
1316.25,500.06,23.93719,FIX
1288.04,485.8,23.978268,FIX
1264.56,473.29,24.007076,FIX
1252.71,473.62,24.051009,FIX
1242.82,467.4,24.07637,FIX
1232.34,464.05,24.12097,FIX
1221.99,451.09,24.150669,FIX
1232.03,455.17,24.199895,FIX
1216.22,448.04,24.230769,FIX
1205.25,433.19,24.275339,FIX
1210.31,422.33,24.306795,FIX
1223.79,440.55,24.343801,FIX
1228.5,439.74,24.380499,FIX
1226.71,418.73,24.424244,FIX
1231.03,425.03,24.452163,FIX
1249.69,436.2,24.497366,FIX
1235.29,428.09,24.532121,FIX
1220.9,416.76,24.565007,FIX
1216.6,415.89,24.60799,FIX
1211.3,398.87,24.649037,FIX
1200.93,397.2,24.687736,FIX
1219.64,420.25,24.715364,FIX
1225.58,415.52,24.757369,FIX
1231.71,408.29,24.787972,FIX
1223.5,403.59,24.829495,FIX
1253.71,425.01,24.86179,FIX
1225.12,396.07,24.901943,FIX
1224.22,389.66,24.936776,FIX
1218.97,392.77,24.977532,FIX
1206.73,362.16,25.009955,FIX
1127.78,341.03,25.053849,FIX
1079.66,332.35,25.083463,FIX
1074.74,304.74,25.124659,FIX
1049.19,288.83,25.190473,FIX
1036.62,271.07,25.223419,FIX
1014.28,266.54,25.272769,FIX
984.18,221.63,25.3043,FIX
955.42,203.12,25.344704,FIX
955.15,197.47,25.375148,FIX
956.01,193.59,25.415685,FIX
937.85,202.17,25.44763,FIX
928.71,215.25,25.49357,FIX
894.9,211.49,25.53083,FIX
906.74,214.94,25.578161,FIX
938.09,230.03,25.607131,FIX
943.97,246.34,25.648247,FIX
967.68,270.55,25.679564,FIX
975.26,265.19,25.719375,FIX
996.79,277.47,25.747153,FIX
1018.26,284.96,25.784386,FIX
998.11,279.39,25.813857,FIX
1009.69,285.23,25.856187,FIX
1007.78,290.82,25.886629,FIX
994.27,291.88,25.925824,FIX
1003.71,284.82,25.955467,FIX
1009.71,286.28,25.994989,FIX
1013.94,289.27,26.032122,FIX
1014.31,288.66,26.075742,FIX
1011.69,290.21,26.105244,FIX
1007.56,283.82,26.145347,FIX
1008.78,296.2,26.1752,FIX
1017.57,285.41,26.21541,FIX
1008.92,287.77,26.239004,FIX
988.59,277.65,26.27844,FIX
1006.58,299.08,26.312924,FIX
1015.31,306.62,26.352416,FIX
1021.05,321.92,26.379056,FIX
1041.44,337.85,26.420092,FIX
1044.45,329.58,26.456196,FIX
1042.85,321.14,26.51141,FIX
1042.27,322.32,26.552977,FIX
1031.87,313.88,26.599499,FIX
1039.69,305.48,26.651091,FIX
1034.77,302.85,26.68137,FIX
1017.27,297.74,26.722327,FIX
1006.2,297.45,26.751638,FIX
979.0,292.48,26.795412,FIX
967.35,302.48,26.82048,SP
974.57,314.8,26.862089,SP
981.56,327.58,26.892253,SP
985.14,333.01,26.93869,SP
987.92,321.22,26.970856,SP
984.66,323.55,27.019915,SP
984.36,313.92,27.052684,SP
985.95,308.18,27.084234,SP
986.17,323.28,27.129962,SP
975.37,313.0,27.162049,SP
973.15,307.7,27.200568,SP
963.69,334.32,27.245157,SP
957.22,371.14,27.278429,SP
930.52,381.48,27.310111,SP
935.74,396.87,27.354766,SP
943.62,414.24,27.385142,SP
953.87,423.03,27.427976,SP
952.5,421.45,27.453218,SP
971.78,420.24,27.492523,SP
976.53,409.42,27.528775,SP
